file	percent	reads	taxon_id	taxon_name
kaiju_nr_euk_greedy.out	0.005083	1577	2057233	Absiella
kaiju_nr_euk_greedy.out	0.005067	1572	1348611	Vallitalea
kaiju_nr_euk_greedy.out	0.005063	1571	1573534	Faecalitalea
kaiju_nr_euk_greedy.out	0.005054	1568	1573806	Mariniphaga
kaiju_nr_euk_greedy.out	0.005050	1567	2172004	Lawsonibacter
kaiju_nr_euk_greedy.out	0.005044	1565	114627	Alkaliphilus
kaiju_nr_euk_greedy.out	0.005025	1559	596767	Hydrogenoanaerobacterium
kaiju_nr_euk_greedy.out	0.005015	1556	290174	Aquimarina
kaiju_nr_euk_greedy.out	0.004983	1546	1298	Deinococcus
kaiju_nr_euk_greedy.out	0.004976	1544	1873	Micromonospora
kaiju_nr_euk_greedy.out	0.004976	1544	28231	Geobacter
kaiju_nr_euk_greedy.out	0.004967	1541	1987749	Marasmitruncus
kaiju_nr_euk_greedy.out	0.004931	1530	864	Pectinatus
kaiju_nr_euk_greedy.out	0.004928	1529	86331	Mogibacterium
kaiju_nr_euk_greedy.out	0.004915	1525	2563783	Anaerolactibacter
kaiju_nr_euk_greedy.out	0.004905	1522	146	Spirochaeta
kaiju_nr_euk_greedy.out	0.004905	1522	59739	Flammeovirga
kaiju_nr_euk_greedy.out	0.004760	1477	519427	Sharpea
kaiju_nr_euk_greedy.out	0.004728	1467	22	Shewanella
kaiju_nr_euk_greedy.out	0.004725	1466	638847	Pyramidobacter
kaiju_nr_euk_greedy.out	0.004712	1462	52959	Polaribacter
kaiju_nr_euk_greedy.out	0.004648	1442	56112	Dehalobacter
kaiju_nr_euk_greedy.out	0.004590	1424	5052	Aspergillus
kaiju_nr_euk_greedy.out	0.004567	1417	354354	Niastella
kaiju_nr_euk_greedy.out	0.004544	1410	1707	Cellulomonas
kaiju_nr_euk_greedy.out	0.004541	1409	358023	Lutibacter
kaiju_nr_euk_greedy.out	0.004528	1405	111500	Muricauda
kaiju_nr_euk_greedy.out	0.004525	1404	1817	Nocardia
kaiju_nr_euk_greedy.out	0.004515	1401	45989	Methanoculleus
kaiju_nr_euk_greedy.out	0.004483	1391	497	Psychrobacter
kaiju_nr_euk_greedy.out	0.004477	1389	1822464	Paraburkholderia
kaiju_nr_euk_greedy.out	0.004467	1386	265570	Sulfurovum
kaiju_nr_euk_greedy.out	0.004464	1385	182709	Oceanobacillus
kaiju_nr_euk_greedy.out	0.004435	1376	379899	Niabella
kaiju_nr_euk_greedy.out	0.004422	1372	1470353	Candidatus Soleaferrea
kaiju_nr_euk_greedy.out	0.004415	1370	1981033	Mordavella
kaiju_nr_euk_greedy.out	0.004409	1368	1980038	Millionella
kaiju_nr_euk_greedy.out	0.004393	1363	2330	Halanaerobium
kaiju_nr_euk_greedy.out	0.004370	1356	1970195	Ancylomarina
kaiju_nr_euk_greedy.out	0.004299	1334	109326	Anaerovorax
kaiju_nr_euk_greedy.out	0.004293	1332	890	Desulfuromonas
kaiju_nr_euk_greedy.out	0.004293	1332	1827	Rhodococcus
kaiju_nr_euk_greedy.out	0.004258	1321	76831	Myroides
kaiju_nr_euk_greedy.out	0.004232	1313	1929045	Traorella
kaiju_nr_euk_greedy.out	0.004229	1312	1973275	Massilibacillus
kaiju_nr_euk_greedy.out	0.004161	1291	416949	Parapedobacter
kaiju_nr_euk_greedy.out	0.004125	1280	1849828	Paeniclostridium
kaiju_nr_euk_greedy.out	0.004122	1279	365348	Pelosinus
kaiju_nr_euk_greedy.out	0.004080	1266	2060871	Galactobacillus
